"","","lng","lat"
"2","brooklands","0.543354","51.346958"
"3","fletchermoss","-2.231866","53.409252"
"5","henleywood","-3.030152","52.862767"
"6","jerseyfarm","-0.308582","51.773097"
"7","marketrasenracecourse","-0.315743","53.381506"
"8","myrtle","-1.8411013","53.846333"
"10","somerdalepavilion","-2.495692","51.426516"
"13","lowestoft","1.745482","52.466508"
"14","gorleston","1.72893","52.563491"
"15","frittonlake","1.652713","52.543973"
"16","sizewell","1.62233","52.21019"
"17","brundall","1.414661","52.624447"
"18","margate","1.412516","51.391976"
"19","walmeranddealseafront","1.403171","51.209444"
"20","pegwellbay","1.358013","51.319429"
"21","felixstowe","1.345696","51.957768"
"22","catton","1.297288","52.658659"
"23","harwich","1.284856","51.937834"
"24","norwich","1.2586536","52.6206114"
"25","kesgrave","1.248236","52.057135"
"26","mulbarton","1.235253","52.563197"
"27","colneylane","1.225181","52.621391"
"28","blickling","1.219397","52.815628"
"29","folkestone","1.169872","51.075461"
"30","sheringham","1.168413","52.930637"
"31","clactonseafront","1.142967","51.781574"
"32","ipswich","1.116425","52.051155"
"33","canterbury","1.0566713","51.2989755"
"35","merseaisland","0.9937476","51.7913413"
"36","colchestercastle","0.903548","51.89177"
"37","ashford","0.859466","51.14511"
"38","burnhamoncrouch","0.810703","51.627402"
"39","holkham","0.800972","52.950118"
"40","southend","0.786917","51.523765"
"41","greatcornard","0.752735","52.023438"
"42","sittingbourne","0.7424998","51.35573"
"43","thetford","0.738358","52.415482"
"44","burystedmunds","0.733895","52.222857"
"45","maldonprom","0.693426","51.726071"
"46","swaffham","0.688486","52.638622"
"47","hockleywoods","0.649138","51.596028"
"48","brandoncountrypark","0.621114","52.437046"
"49","southwoodhamferrers","0.61296","51.631637"
"50","hadleigh","0.596035","51.549758"
"51","clarecastle","0.583091","52.076638"
"52","hastings","0.539789","50.850283"
"53","greatlines","0.536313","51.385629"
"54","greatnotley","0.515242","51.861917"
"55","maidstone","0.510435","51.289567"
"56","basildon","0.497797","51.576763"
"57","chelmsfordcentral","0.456877","51.734577"
"58","bedgeburypinetum","0.45077","51.072507"
"59","malling","0.437286","51.315352"
"60","haverhill","0.421826","52.076941"
"61","shornewoods","0.418639","51.404468"
"62","billericay","0.417486","51.632986"
"63","kingslynn","0.40525","52.751996"
"64","thurrock","0.363257","51.491574"
"65","greatdunmow","0.36266","51.87867"
"66","littleport","0.299386","52.463037"
"67","eastbourne","0.286503","50.804009"
"68","royaltunbridgewells","0.283799","51.130569"
"69","brentwood","0.265603","51.624225"
"70","tonbridge","0.260324","51.194729"
"71","dartford","0.219748","51.439176"
"72","harrowlodge","0.201445","51.557489"
